Rank,Name,Party,State,Score,Key Factor,DC Phone,Twitter
57,Michael Bennet,D,CO,0.0662,Blue-state electorate,(202) 224-5852,@SenatorBennet
58,Chris Murphy,D,CT,0.0662,Blue-state electorate,(202) 224-4041,@ChrisMurphyCT
59,Lisa Blunt Rochester,D,DE,0.0662,Blue-state electorate,(202) 224-5042,@SenBluntRoch
60,Mazie Hirono,D,HI,0.0662,Blue-state electorate,(202) 224-6361,@maaborhirono
61,Angela Alsobrooks,D,MD,0.0662,Blue-state electorate,(202) 224-4654,@SenAlsobrooks
62,Elizabeth Warren,D,MA,0.0662,Blue-state electorate,(202) 224-4543,@SenWarren
63,Andy Kim,D,NJ,0.0662,Blue-state electorate,(202) 224-3224,@SenAndyKimNJ
64,Maria Cantwell,D,WA,0.0662,Blue-state electorate,(202) 224-3441,@SenatorCantwell
65,Raphael Warnock,D,GA,0.0658,Signal/narrative value if shifted,(202) 224-3643,@SenReverendWarnock
66,John Thune,R,SD,0.0653,Leadership role,(202) 224-2321,@SenJohnThune
67,Dave McCormick,R,PA,0.0635,Signal/narrative value if shifted,(202) 224-4254,@SenMcCormickPA
68,Mike Lee,R,UT,0.0610,Committee power,(202) 224-5444,@SenMikeLee
69,John Fetterman,D,PA,0.0599,Signal/narrative value if shifted,(202) 224-4254,@SenFettermanPA
70,Amy Klobuchar,D,MN,0.0572,Blue-state electorate,(202) 224-3244,@SenAmyKlobuchar
71,Martin Heinrich,D,NM,0.0572,Blue-state electorate,(202) 224-5521,@MartinHeinrich
72,John Barrasso,R,WY,0.0571,Leadership role,(202) 224-6441,@SenJohnBarrasso
73,Tammy Baldwin,D,WI,0.0568,Signal/narrative value if shifted,(202) 224-5653,@SenatorBaldwin
74,Ted Budd,R,NC,0.0550,Signal/narrative value if shifted,(202) 224-3154,@SenTedBudd
75,Ruben Gallego,D,AZ,0.0509,Signal/narrative value if shifted,(202) 224-2934,@SenRubenGallego
76,Elissa Slotkin,D,MI,0.0509,Signal/narrative value if shifted,(202) 224-6221,@SenSlotkin
77,Bernie Moreno,R,OH,0.0487,Signal/narrative value if shifted,(202) 224-2315,@SenBernieMoreno
78,Catherine Cortez Masto,D,NV,0.0482,Signal/narrative value if shifted,(202) 224-3542,@SenCortezMasto
79,Maggie Hassan,D,NH,0.0482,Signal/narrative value if shifted,(202) 224-3324,@SenatorHassan
80,Tommy Tuberville,R,AL,0.0480,Electoral proximity (up 2026),(202) 224-4124,@SenTuberville
81,Ashley Moody,R,FL,0.0460,Signal/narrative value if shifted,(202) 224-3041,
82,Jon Husted,R,OH,0.0460,Signal/narrative value if shifted,(202) 224-3353,
83,Katie Britt,R,AL,0.0392,Signal/narrative value if shifted,(202) 224-5744,@SenKatieBritt
84,John Boozman,R,AR,0.0392,Signal/narrative value if shifted,(202) 224-4843,@JohnBoozman
85,Mike Crapo,R,ID,0.0392,Signal/narrative value if shifted,(202) 224-6142,@MikeCrapo
86,Todd Young,R,IN,0.0392,Signal/narrative value if shifted,(202) 224-5623,@SenToddYoung
87,Eric Schmitt,R,MO,0.0392,Signal/narrative value if shifted,(202) 224-5721,@SenEricSchmitt
88,Jacky Rosen,D,NV,0.0392,Blue-state electorate,(202) 224-6244,@SenJackyRosen
89,John Hoeven,R,ND,0.0392,Signal/narrative value if shifted,(202) 224-2551,@SenJohnHoeven
90,James Lankford,R,OK,0.0392,Signal/narrative value if shifted,(202) 224-5754,@SenatorLankford
91,Tim Sheehy,R,MT,0.0361,Signal/narrative value if shifted,(202) 224-2644,@SenTimSheehy
92,Deb Fischer,R,NE,0.0361,Signal/narrative value if shifted,(202) 224-6551,@SenatorFischer
93,John Kennedy,R,LA,0.0346,Signal/narrative value if shifted,(202) 224-4623,@SenJohnKennedy
94,Tim Scott,R,SC,0.0346,Signal/narrative value if shifted,(202) 224-6121,@SenatorTimScott
95,Josh Hawley,R,MO,0.0302,Signal/narrative value if shifted,(202) 224-6154,@HawleyMO
96,Kevin Cramer,R,ND,0.0302,Signal/narrative value if shifted,(202) 224-2043,@SenKevinCramer
97,Marsha Blackburn,R,TN,0.0302,Signal/narrative value if shifted,(202) 224-3344,@MarshaBlackburn
98,John Curtis,R,UT,0.0302,Signal/narrative value if shifted,(202) 224-5444,@SenJohnCurtis
99,Jim Justice,R,WV,0.0302,Signal/narrative value if shifted,(202) 224-6472,@SenJimJustice
100,Jim Banks,R,IN,0.0256,Signal/narrative value if shifted,(202) 224-5623,@SenJimBanks
